dev_id,condition,sonar,coverage,loc_per_issue,cycle_time,conflicts,sentiment
2,Gemini,87.1611515315324,90.64980321505261,353.0048024598258,19.033815451382974,2,0.23219303054593288
2,Gemini,90.0528963226694,90.09165957325132,552.3497629761599,19.02652712651332,2,0.16970666414522476
3,Control,82.52609857824383,76.03863016074718,386.09707828084487,23.187938692932743,1,0.20599876392107544
3,Control,85.46450739432201,80.87921741989604,324.28242909868163,29.463098044579027,0,0.26369164604558937
3,Control,86.46900212976009,77.13650821411574,322.4410287668036,17.47828778751788,0,0.2881688064622161
3,Control,85.825561853873,82.46618047998346,454.8396491326974,21.018447535988518,0,0.2023131917821255
3,Control,86.75734709638179,79.28121647541857,420.4690985343317,24.151840014767984,0,0.22676715833810218
3,Control,90.44033833317924,81.87700204329502,317.1421221791859,17.71643000775555,3,0.26412362076215923
3,Control,85.94647524914708,79.78151326202938,317.6603140965798,15.940611101256541,1,0.2507046872065102
3,Control,82.50852244257602,80.51954277755354,379.26586898644183,18.46457025519547,0,0.2476862552972764
4,GPT4o,93.11484701772476,88.1540825784389,472.3468294596272,21.198595632293213,1,0.24525609799782797
4,GPT4o,89.79219125503094,88.91334735961256,435.4324494588064,18.071795443397512,0,0.24359569944061965
4,GPT4o,92.14178102138634,91.40669692054179,477.24010580959214,19.954173753917395,1,0.16135873927312142
4,GPT4o,90.52636278651998,86.54390935651269,424.91244836317935,24.943975700020527,0,0.1066367403704126
4,GPT4o,90.17093638922022,88.24059613762245,366.4127835822466,16.9955482578158,0,0.1642348145370016
4,GPT4o,92.35919549786935,85.80890010484859,432.9875153749185,18.13671551971144,0,0.16741998261970914
4,GPT4o,93.7268709819034,90.48629793281462,420.9085966955919,19.326222050600194,0,0.1669106767615806
4,GPT4o,92.70486666959245,85.6224377847019,413.11581351198606,19.51496183694137,0,0.24328775970850608
5,Claude,89.33150581769927,86.04645928046826,429.0660219462271,14.16331807847643,1,0.23886481327302045
5,Claude,93.30270197295899,83.01950470159231,520.6229478651107,16.80777579031104,1,0.1560040133368435
5,Claude,89.52521607758666,92.61601704141691,408.8334715460271,16.202225030316757,0,0.20737159243034198
5,Claude,87.5044336360703,91.8972339117949,324.1915173223621,17.67986653990905,0,0.22653702886430457
5,Claude,90.1170178046137,94.04399078535097,434.2985305262315,21.729214524879453,0,0.2299529847786735
5,Claude,88.79956624568241,87.20940625497006,386.8811841882944,19.340552035753745,0,0.25310653372605235
5,Claude,88.76973264445733,93.33395292484876,451.21091076595826,19.21291724691924,0,0.23404959338675163
5,Claude,88.75460096035881,86.37563324892817,380.41994392047,17.231905729167366,0,0.2624801048510512
6,Gemini,90.90402218769339,90.35765074238711,421.7208347165482,21.743942402107173,1,0.2075868505232537
6,Gemini,87.57974408414503,80.63698516420466,326.76579374308875,17.99239181545636,2,0.23809686588733872
6,Gemini,90.65083269797606,88.44052890800191,478.32872842925974,20.063011524898275,0,0.16803876010651222
6,Gemini,90.70794942213571,85.18687861313437,363.21431902549733,25.73695291951991,0,0.2332613541273459
6,Gemini,86.9879652370006,82.3574341616368,469.48665241000407,22.37498808188881,1,0.17938766135765427
6,Gemini,87.20549125702834,86.22741367458119,359.37029730927327,22.925359200253254,0,0.17264713092489306
6,Gemini,90.22768268295084,90.07364236429996,374.00179558584637,20.611468182582403,1,0.2377177169204462
6,Gemini,88.04523653884935,84.00731767008674,481.6066819748903,13.888772195083583,1,0.2585016140271336
7,Control,84.39535151584738,79.98631151302911,325.8828699439923,21.807218057856748,0,0.2561359280169045
7,Control,83.34553811289535,81.55803954272352,436.6369456501289,21.56495940617257,0,0.2600855861049471
7,Control,84.31359752673767,81.37302936328652,363.48263322594397,25.93401722543386,1,0.2636813693863782
7,Control,85.10870115587714,86.82728389270162,380.3113342524964,20.272231193566512,0,0.3329983503243465
7,Control,86.74464127344136,80.55002601721506,469.4901466608836,18.766806858579393,0,0.23211380208729482
7,Control,82.28988408896413,83.09780121205392,269.4934337501992,14.349173931743124,1,0.2581238229402651
7,Control,86.48392603305894,84.42997587628889,395.012147668121,21.470802224230148,1,0.23631944421040468
7,Control,84.43555762202558,80.88643257326954,305.1327065716671,23.363688794235813,1,0.23567932465841931
8,GPT4o,86.09547079736853,85.29611854400599,413.4822801546687,17.83354512510698,4,0.17749672642603784
8,GPT4o,92.245699864695,84.79713871185221,411.4572308987224,18.360886895135696,0,0.22572194170293747
8,GPT4o,93.12089362822094,92.62411299075455,370.3264152650572,17.088406693707217,1,0.20574307341069478
8,GPT4o,94.10252570946594,88.50991870872193,489.1947111857073,21.079739539656234,0,0.20830440662540756
8,GPT4o,92.29075189917029,92.10589467259705,362.10459236519375,20.05815437999532,0,0.11345634481172163
8,GPT4o,93.88867758396363,90.65819068073846,411.77533073748884,18.600403257520266,1,0.0914567085934795
8,GPT4o,92.96309475346017,88.99210167119179,419.1169044819038,20.389216289088978,0,0.21920327244696539
8,GPT4o,90.93461050381181,81.79767369988036,414.6527976292327,14.08659149848544,0,0.23348362744150195
9,Claude,87.79749619030578,88.46301982476989,454.8420818967081,18.12792307590687,0,0.1707136976832228
9,Claude,91.00809303103568,85.40922714488268,362.42763006425935,18.678908920136326,0,0.1682378838790313
9,Claude,90.11494800604859,80.1515925298776,403.8830292512086,19.126402245225787,1,0.2625677132300255
9,Claude,88.7592725549289,84.79076348322707,444.7702640929912,17.358160490987437,0,0.15859729904381878
9,Claude,86.96961787560289,91.10062280233358,508.69806281007703,18.252891881330864,0,0.2625701046189414
9,Claude,88.02412830840692,87.08586167870348,468.1173893782653,16.083194356827786,0,0.22397412259087693
9,Claude,86.78710735948485,87.61039090760167,364.6189552829418,14.733238871206979,0,0.16693686835267046
9,Claude,88.69125330777396,84.68032508864152,388.95264528962787,19.65466819759329,0,0.26552820611855404
10,Gemini,88.98405471736676,90.43983241667007,404.6420984588571,17.41614739601521,0,0.15797477205632374
10,Gemini,92.16407636592756,84.83579243060775,359.89588190180393,24.18719580778569,0,0.11451753549940508
10,Gemini,86.20286485236171,87.68890771007172,360.96144585269036,18.53862384870591,0,0.13857081144906322
10,Gemini,87.90966160133631,78.49172143501335,441.0785320933101,21.170759806949427,2,0.17575455837520837
10,Gemini,90.00183437524876,83.06733426560434,405.95993832575357,22.254161370115366,0,0.22665060701941747
10,Gemini,87.47653016854436,84.30632899019128,339.87719658227593,20.839272049360126,0,0.04295225777701492
10,Gemini,89.51944500344297,83.28705012468677,438.31554752664243,15.01543981319312,0,0.31918887117445255
10,Gemini,85.77798878008956,85.55434578497885,375.5523917418841,18.194093963310845,0,0.218012554731768
11,Control,86.05960835583056,84.3247058619737,236.41777499363553,18.812418978118092,0,0.24848646421951867
11,Control,85.1787878382913,81.46413223813624,439.00670475376006,21.520596322537603,1,0.24568647301064903
11,Control,84.36304297869933,79.04282893680097,387.1741576481889,26.139683708322394,0,0.2835562351715846
11,Control,84.34795293566432,83.60364176649183,339.5962313489224,13.847501859288585,0,0.18959568445412978
11,Control,87.10318608134334,77.46936511326359,280.9874031628236,22.064213674575722,1,0.28462054099076056
11,Control,85.19124089177879,77.34555217424605,374.3470630612149,22.66077752048231,0,0.26844683372348205
11,Control,85.67699281498882,78.75413625829759,391.63909330531425,31.082771431217584,1,0.21703195502298778
11,Control,83.30031126107042,82.49100744963273,317.1958087045566,22.28626494887757,0,0.21611712766174415
